Fecha Declaración;Nombre;Apellido Paterno;Apellido Materno;Cargo;Tipo Declaración;Institución
2019-04-01T00:00:00Z;MARIO FRANCISCO;PÉREZ;NAVARRO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2019-03-31T00:00:00Z;SAMUEL LUIS;VALENZUELA;SALAZAR;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2019-03-31T00:00:00Z;SAMUEL LUIS;VALENZUELA;SALAZAR;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);RENOVACIÓN NACIONAL
2019-03-31T00:00:00Z;ALVARO;LAVIN;ALIAGA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIÓN DEMÓCRATA INDEPENDIENTE
2019-04-02T00:00:00Z;CARMEN GLORIA;ARAVENA;ACUÑA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO EVOLUCIÓN POLÍTICA
2019-03-31T00:00:00Z;LUIS ANTONIO;JARA;CORREA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PAIS PROGRESISTA
2019-04-01T00:00:00Z;LILET;ROSAS;PEZO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2019-03-31T00:00:00Z;GASTÓN BERNABÉ;DELGADO;ÁLVAREZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2019-04-01T00:00:00Z;GONZALO;PINTO;MUÑOZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2019-03-31T00:00:00Z;CRISTIAN ALFREDO;RODRÍGUEZ;SALAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-04-18T00:00:00Z;INÉS YAQUELINE;TAPIA;TAMBLAY;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-09-21T00:00:00Z;FERNANDO ADILIO;LEAL;ARAVENA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO PAÍS
2017-10-14T00:00:00Z;CATALINA ISABEL;FERNÁNDEZ;HERNÁNDEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO IZQUIERDA CIUDADANA DE CHILE
2017-09-22T00:00:00Z;GUILLERMO ISMAEL;ALLENDE;GONZÁLEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO PAÍS
2017-08-21T00:00:00Z;RAUL ANDRES;PALACIOS;AUSPONT;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);MAS-REGIÓN
2017-08-20T00:00:00Z;WALDO MAURICIO;PALACIOS;NÚÑEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO RADICAL SOCIALDEMÓCRATA
2018-06-04T00:00:00Z;LUCIANO;CRUZ-COKE;CARVALLO;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO EVOLUCIÓN POLÍTICA
2017-03-31T00:00:00Z;MAURICIO ALEJANDRO ROSAMEL;HENRÍQUEZ;BARRÍA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);DEMOCRACIA REGIONAL PATAGÓNICA
